code_a,name_a,country_a,code_b,name_b,country_b,water_type,water_body,border_km,ne_cov,has_bridge,crossings,note
BRA025,Rio Grande Do Sul,Brazil,URY019,Treinta Y Tres,Uruguay,lake,Lagoa Mirim,62.1,1.0,False,,huge-lake/knowledge
CHN018,Liaoning Sheng,China,PRK001,Chagang-do,D. P. R. of Korea,river,Yalu; Supung Reservoir,61.2,1.0,False,,osm
RUS042,Leningradskaya Oblast,Russian Federation,EST004,Ida-Viru maakond,Estonia,river,Narva,59.7,0.96,True,Sõpruse sild / Нарвский мост Дружбы; yes,recheck2:physical-link-border-closed:Narva vehicles closed 2024
BGR027,Vidin,Bulgaria,ROU018,Dolj,Romania,river,Danube,57.7,0.87,True,Podul Noua Europă - Мостът „Нова Европа“; yes,osm
SWE012,Oestergoetlands Laen,Sweden,SWE021,Vaestra Goetalands Laen,Sweden,lake,Vättern,56.2,1.0,False,,huge-lake/knowledge
ARG007,Corrientes,Argentina,PRY013,Misiones,Paraguay,river,Paraná,55.0,1.0,True,(web-verified),verified:open-bridge
HRV009,Medimurje,Croatia,SVN009,Pomurska,Slovenia,river,Mur,53.9,0.9,True,1; Državna meja – Lendava; Pelinska ulica; Petrova ulica; yes,osm
LSO005,Maseru,Lesotho,ZAF002,Free State,South Africa,river,Caledon,53.4,0.97,True,Maseru Bridge; yes,osm
POL004,Lubeiskie,Poland,UKR022,Volyns'ka,Ukraine,river,Bug,188.6,0.99,True,Graniczny most kolejowy w Dorohusku; LHS; Linia Hutnicza Szerokotorowa; bridge; viaduct,osm
MOZ008,Niassa,Mozambique,TZA020,Mtwara,Tanzania,river,Ruvuma,51.6,0.95,False,,osm
COD029,Sud-Ubangi,Democratic Republic of Congo,CAF006,Plateaux,Central African Republic,river,Lobaye; Ubangi; Uele,171.4,0.98,False,,osm
UGA026,Buvuma,Uganda,UGA075,Mayuge,Uganda,lake,Lake Victoria,164.6,1.0,False,,huge-lake/knowledge
HUN008,Gyor-moson-sopron,Hungary,SVK007,Trnava,Slovak Republic,river,Danube,48.9,1.0,True,bridge; yes,osm
AZE051,Ordubad,Azerbaijan,IRN004,East Azarbayejan,Islamic Republic of Iran,river,Aras,45.1,0.72,False,,verified:no-open-bridge
AFG004,Balkh,Afghanistan,TJK004,Khatlon Province,Tajikistan,river,Amu Darya,43.3,1.0,False,,osm
LAO012,Savannakhét,Lao People's Democratic Republic,THA071,Ubon Ratchathani,Thailand,river,Mekong,43.0,1.0,False,,osm
COD025,Mai-Ndombe,Democratic Republic of Congo,COG009,Plateaux,Congo,river,Congo,39.9,1.0,False,,osm
HRV009,Medimurje,Croatia,HUN020,Zala,Hungary,river,Mur,38.7,1.0,True,DG - Čakovec – Kotoriba - DG; Murakeresztúri vasúti Mura-híd; Zrinski most; Zrínyi Miklós híd; Zrínyi Miklós híd / Zrinski most,osm
LSO001,Berea,Lesotho,ZAF002,Free State,South Africa,river,Caledon,37.5,1.0,False,,verified:no-open-bridge
MDA024,Ocnita,Moldova,UKR021,Vinnyts'ka,Ukraine,river,Dniester,36.4,1.0,True,Podul Prieteniei; Podul Prieteniei – міст Дружба; Podul „Unguri–Bronnița”; Podul „Unguri–Bronnița” / міст «Бронниця–Унгри»; Vălcineț - Могилів-Подільський (Україна),osm
SWE014,Soedermanlands Laen,Sweden,SWE016,Uppsala Laen,Sweden,lake,Mälaren,35.7,1.0,True,(web-verified),verified:open-bridge
MDA019,Glodeni,Moldova,ROU007,Botoşani,Romania,river,Prut,34.5,1.0,False,,verified:no-open-bridge
BIH002,Republika Srpska,Bosnia and Herzegovina,SRB020,Sremski,Serbia,river,Drina; Sava,32.9,1.0,True,Bijeljina - Šid; Most Evropa; Most u Rači; Бијељина - Шид; Мост Европа,osm
RUS061,Pskovskaya Oblast,Russian Federation,EST004,Ida-Viru maakond,Estonia,lake,Lake Peipus (Chudskoye),31.2,0.74,False,,verified:no-open-bridge; reclassified river->lake (HydroRIVERS full-sweep + human map verification 2026-07-02)
HRV018,Virovitica-podravina,Croatia,HUN002,Baranya,Hungary,river,Mur,29.0,1.0,False,,verified:no-open-bridge
ZAF001,Eastern Cape,South Africa,LSO006,Mohale's Hoek,Lesotho,river,Orange,28.0,1.0,False,,osm
UGA040,Kalangala,Uganda,UGA082,Mpigi,Uganda,lake,Lake Victoria,27.8,1.0,False,,huge-lake/knowledge
BWA010,Southern,Botswana,ZAF007,North West,South Africa,river,Molopo,156.8,0.89,True,low_water_crossing; yes,osm
UGA026,Buvuma,Uganda,UGA084,Mukono,Uganda,lake,Lake Victoria,25.5,1.0,False,,huge-lake/knowledge
AGO014,Malanje,Angola,COD021,Kwango,Democratic Republic of Congo,river,Kwango,149.5,0.98,False,,osm
LAO012,Savannakhét,Lao People's Democratic Republic,THA001,Amnat Charoen,Thailand,river,Mekong,23.7,0.99,False,,osm
BDI011,Makamba,Burundi,COD011,Sud-Kivu,Democratic Republic of Congo,lake,Lake Tanganyika,22.1,1.0,False,,huge-lake/knowledge
GHA015,Northern East,Ghana,TGO002,Kara,Togo,river,Oti,21.0,1.0,False,,osm
IND005,Bihar,India,NPL001,Lumbini,Nepal,river,Gandak,20.4,1.0,True,yes,recheck2:tripoint-review:tripoint Bihar/Gandaki/Lumbini
IRN001,Ardebil,Islamic Republic of Iran,AZE012,Beylagan,Azerbaijan,river,Aras,19.4,1.0,False,,verified:no-open-bridge
LAO014,Vientiane [prefecture],Lao People's Democratic Republic,THA020,Loei,Thailand,river,Mekong,17.7,1.0,False,,osm
LAO012,Savannakhét,Lao People's Democratic Republic,THA027,Nakhon Phanom,Thailand,river,Mekong,16.7,1.0,False,,osm
TZA016,Mara,Tanzania,UGA075,Mayuge,Uganda,lake,Lake Victoria,15.5,1.0,False,,huge-lake/knowledge
GHA004,Eastern,Ghana,GHA016,Oti,Ghana,lake,Lake Volta,14.3,1.0,False,,huge-lake/knowledge
COD029,Sud-Ubangi,Democratic Republic of Congo,CAF001,Bas-Oubangui,Central African Republic,river,Uele,13.5,1.0,False,,osm
AUT003,Niederosterreich,Austria,SVK007,Trnava,Slovak Republic,river,Morava,9.8,1.0,True,bridge; yes,osm
AFG004,Balkh,Afghanistan,UZB012,Surkhandarya,Uzbekistan,river,Amu Darya,146.5,0.96,True,Hayraton Do'stlik ko'prigi; پل دوستی افغانستان و ازبکستان,osm
COD007,Kinshasa,Democratic Republic of Congo,COG002,Brazzaville,Congo,river,Congo,9.4,1.0,False,,osm
JOR004,Balqa,Jordan,PSE015,Tubas,West Bank and Gaza,river,Jordan,8.7,1.0,False,,osm
MRT003,Brakna,Mauritania,SEN015,Saint Louis,Senegal,river,Sénégal,7.7,1.0,False,,verified:no-open-bridge
CHE016,Sankt Gallen,Switzerland,DEU001,Baden-Wuerttemberg,Germany,lake,Bodensee,6.9,1.0,False,,huge-lake/knowledge
CHE005,Basel-stadt,Switzerland,FRA002,Alsace,France,river,Rhin,5.6,0.64,False,,verified:no-open-bridge
UGA027,Buyende,Uganda,UGA039,Kaberamaido,Uganda,lake,Lake Kyoga,5.0,1.0,False,,huge-lake/knowledge
CHE016,Sankt Gallen,Switzerland,LIE007,Schaan,Liechtenstein,river,Rhein,4.3,1.0,True,Energiebrücke; Rheinstrasse; Zollstrasse; bridge; yes,osm
BIH002,Republika Srpska,Bosnia and Herzegovina,SRB008,Macvanski,Serbia,river,Drina; Sava,144.5,1.0,True,Most Aleksandra I Karađorđevića; Most Bratoljub; Most Ljubovija-Bratunac; yes; Дринска,osm
CHE016,Sankt Gallen,Switzerland,LIE009,Triesen,Liechtenstein,river,Rhein,4.1,1.0,False,,recheck2:False:no bridge at this unit (Triesen)
IND005,Bihar,India,NPL002,Gandaki,Nepal,river,Gandak,3.4,1.0,True,Gandak Barrage,osm
BGR018,Silistra,Bulgaria,ROU020,Giurgiu,Romania,river,Danube,2.8,0.93,False,,recheck2:geometry-overruled:keep False: Friendship Bridge is Ruse not Silistra (32km)
