level,code_a,code_b,has_bridge,water_type,water_body,note
adm1,AGO016,NAM007,False,river,Cunene,
adm1,ZMB105,ZWE006,True,river,Kafue; Zambezi,
adm1,ARG009,PRY014,False,river,Bermejo; Paraná,
adm1,CAF005,COD027,False,river,Uele,
adm1,AFG019,TJK004,True,river,Amu Darya; Panj,
adm1,LAO014,THA034,True,river,Mekong; Ngun,
adm1,DEU001,FRA002,True,river,Rhin; Rhine,
adm1,ROU028,SRB001,True,river,Danube,
adm1,BRA026,BOL008,False,river,Guaporé,
adm1,MMR013,LAO007,True,river,Lancang,
adm1,LSO003,ZAF002,True,river,Caledon,
adm1,BLR001,POL004,True,river,Bug; Mukhavyets,
adm1,AFG031,TJK004,False,river,Panj,
adm1,ARG007,PRY014,False,river,Paraná,
adm1,COD025,COG011,False,river,Congo; Kasai,
adm1,BIH002,HRV015,True,river,Sava,
adm1,DEU004,POL016,True,river,Oder; Warta,
adm1,COD007,COG011,False,river,Congo,
adm1,AFG001,TJK004,False,river,Panj,
adm1,ARG014,PRY002,False,river,Paraná,
adm1,ARG009,PRY008,False,river,Paraná; Pilcomayo,
adm1,MMR013,LAO002,False,river,Lancang,
adm1,HRV006,HUN015,True,river,Drau; Mur,
adm1,LSO004,ZAF002,True,river,Caledon,
adm1,LAO012,THA024,True,river,Mekong,
adm1,COD016,CAF004,False,river,Bomu,
adm1,MRT006,SEN022,False,river,Sénégal,
adm1,CHE024,FRA023,False,river,Rhône,
adm1,MDA005,ROU007,True,river,Prut,
adm1,CAF003,TCD019,False,river,Aoukalé,
adm1,HRV019,SRB005,True,river,Danube,
adm1,AUT003,SVK002,True,river,Donau; Morava,
adm1,AZE062,IRN026,False,river,Aras,
adm1,MDA017,ROU025,False,river,Prut,
adm1,AZE031,IRN004,True,river,Aras,
adm1,CMR004,TCD022,True,river,Chari; Logone,
adm1,MDA022,ROU041,False,river,Prut,
adm1,CHE026,DEU001,True,river,Rhin,
adm1,AZE035,IRN026,True,river,Aras,
adm1,ZWE006,ZMB109,True,river,Zambezi,
adm1,MDA016,ROU007,False,river,Prut,
adm1,USA003,MEX002,False,river,Colorado,
adm1,LTU003,RUS023,False,river,Neman,
adm1,AZE008,IRN026,False,river,Aras,
adm1,BDI018,COD011,True,river,Rusizi,
adm1,COD017,UGA021,False,river,Semliki,
adm1,HND012,SLV002,True,river,Lempa,
adm1,MDA020,ROU041,True,river,Prut,
adm1,NIC016,CRI005,False,river,San Juan,
adm1,BGR027,ROU028,False,river,Danube,
adm1,COD027,CAF006,False,river,Uele,
