ADM1_code_A,ADM1_name_A,country_A,ISO_A3_A,WB_region_A,ADM1_code_B,ADM1_name_B,country_B,ISO_A3_B,WB_region_B,cross_country,border_length_km,narrow_border,potential_artifact
AFG018,Kunar,Afghanistan,AFG,SAR,AFG020,Laghman,Afghanistan,AFG,SAR,False,17.473,False,False
AFG018,Kunar,Afghanistan,AFG,SAR,AFG022,Nangarhar,Afghanistan,AFG,SAR,False,77.7412,False,False
AFG018,Kunar,Afghanistan,AFG,SAR,AFG024,Nuristan,Afghanistan,AFG,SAR,False,161.7872,False,False
AFG018,Kunar,Afghanistan,AFG,SAR,PAK005,Khyber Pakhtunkhwa,Pakistan,PAK,SAR,True,165.6342,False,False
AFG019,Kunduz,Afghanistan,AFG,SAR,AFG031,Takhar,Afghanistan,AFG,SAR,False,112.193,False,False
AFG019,Kunduz,Afghanistan,AFG,SAR,TJK004,Khatlon Province,Tajikistan,TJK,ECA,True,189.0476,False,False
AFG020,Laghman,Afghanistan,AFG,SAR,AFG022,Nangarhar,Afghanistan,AFG,SAR,False,93.4431,False,False
AFG020,Laghman,Afghanistan,AFG,SAR,AFG024,Nuristan,Afghanistan,AFG,SAR,False,87.0843,False,False
AFG020,Laghman,Afghanistan,AFG,SAR,AFG027,Panjsher,Afghanistan,AFG,SAR,False,27.6835,False,False
AFG021,Logar,Afghanistan,AFG,SAR,AFG022,Nangarhar,Afghanistan,AFG,SAR,False,62.5691,False,False
AFG021,Logar,Afghanistan,AFG,SAR,AFG026,Paktya,Afghanistan,AFG,SAR,False,157.2626,False,False
AFG021,Logar,Afghanistan,AFG,SAR,AFG033,Wardak,Afghanistan,AFG,SAR,False,94.4,False,False
AFG021,Logar,Afghanistan,AFG,SAR,PAK005,Khyber Pakhtunkhwa,Pakistan,PAK,SAR,True,1.4547,True,False
AFG022,Nangarhar,Afghanistan,AFG,SAR,PAK005,Khyber Pakhtunkhwa,Pakistan,PAK,SAR,True,214.0829,False,False
AFG023,Nimroz,Afghanistan,AFG,SAR,IRN024,Sistan-o baluchestan,Islamic Republic of Iran,IRN,MENA,True,221.9558,False,False
AFG023,Nimroz,Afghanistan,AFG,SAR,PAK002,Balochistan,Pakistan,PAK,SAR,True,171.7125,False,False
AFG024,Nuristan,Afghanistan,AFG,SAR,AFG027,Panjsher,Afghanistan,AFG,SAR,False,84.1183,False,False
AFG024,Nuristan,Afghanistan,AFG,SAR,PAK005,Khyber Pakhtunkhwa,Pakistan,PAK,SAR,True,106.2308,False,False
AFG025,Paktika,Afghanistan,AFG,SAR,AFG026,Paktya,Afghanistan,AFG,SAR,False,98.0701,False,False
AFG025,Paktika,Afghanistan,AFG,SAR,AFG034,Zabul,Afghanistan,AFG,SAR,False,43.8496,False,False
AFG025,Paktika,Afghanistan,AFG,SAR,PAK002,Balochistan,Pakistan,PAK,SAR,True,235.9198,False,False
