filename,authors,year,title,category,oa_status,matched_bib_key,journal,doi,keywords,cited_by
Henriksson et al. - 2018 - Measuring the potential for sustainable intensification of aquaculture in Bangladesh using life cycl.pdf,Henriksson et al.,2018,Measuring the potential for sustainable intensification of aquaculture in Bangladesh using life cycl,Telecoupling,OA,,,,,
Keys and Wang-Erlandsson - 2018 - On the social dynamics of moisture recycling.pdf,Keys and Wang-Erlandsson,2018,On the social dynamics of moisture recycling,Telecoupling,OA,keys_social_2018,EARTH SYSTEM DYNAMICS,10.5194/esd-9-829-2018,atmospheric moisture; bolivia; complex adaptive systems; dynamics; ecology; evaporation; evaporation source; food security; food supply; heterogeneity; hydrological cycle; land use; land use change; land-use change; literature reviews; moisture; moisture transfer; mongolia; niger [west africa]; precipitation (climatology); social aspects; social characteristics; social dimensions; social-ecological systems; source-sink dynamics; teleconnection; water recycling,28
Parish et al. - 2018 - Transatlantic wood pellet trade demonstrates telecoupled benefits.pdf,Parish et al.,2018,Transatlantic wood pellet trade demonstrates telecoupled benefits,Telecoupling,OA,parish_transatlantic_2018,ECOLOGY AND SOCIETY,10.5751/ES-09878-230128,alternative energy; bioenergy; biomass; biopower; climate change; ecosystem service; ecosystem services; emission control; energy policy; europe; export; forest management; greenhouse gas; renewable energy; southeast us; sustainability; united states; wood; wood pellets,34
Ringel - 2018 - Tele-Coupling Energy Efficiency Polices in Europe Showcasing the German Governance Arrangements.pdf,Ringel,2018,Tele-Coupling Energy Efficiency Polices in Europe Showcasing the German Governance Arrangements,Telecoupling,OA,,,,,
Schaffer-Smith et al. - 2018 - Network analysis as a tool for quantifying the dynamics of metacoupled systems an example using glo.pdf,Schaffer-Smith et al.,2018,Network analysis as a tool for quantifying the dynamics of metacoupled systems an example using glo,Metacoupling,OA,schaffer-smith_network_2018,ECOLOGY AND SOCIETY,10.5751/ES-10460-230403,agricultural trade; agriculture; brazil; china; connectivity; coupled human and natural systems; export; glycine max; graph theory; import; network analysis; quantitative analysis; social-ecological systems; soybean; telecoupling; united states; usa,37
Semmens et al. - 2018 - Quantifying ecosystem service flows at multiple scales across the range of a long-distance migratory.pdf,Semmens et al.,2018,Quantifying ecosystem service flows at multiple scales across the range of a long-distance migratory,Telecoupling,OA,semmens_quantifying_2018,ECOSYSTEM SERVICES,10.1016/j.ecoser.2017.12.002,biodiversity conservation; monarch butterfly; political ecology; social-ecological systems; spatial subsidies; telecoupling,50
Sun et al. - 2018 - Importing food damages domestic environment Evidence from global soybean trade.pdf,Sun et al.,2018,Importing food damages domestic environment Evidence from global soybean trade,Telecoupling,OA,sun_importing_2018,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.1718153115,agricultural land; agriculture; article; catering service; china; commerce; commercial phenomena; conservation of natural resources; consumer; controlled study; economics; environment; environmental policy; environmental pollution; environmental protection; food industry; food security; food supply; human; humans; information processing; international cooperation; maize; nitrogen; nitrogen fixation; nonhuman; pollution; prevention and control; priority journal; procedures; rice; soybean; soybeans; sustainable development goals; telecoupling; vegetable; wheat,181
Wyckhuys et al. - 2018 - Biological control of an invasive pest eases pressures on global commodity markets.pdf,Wyckhuys et al.,2018,Biological control of an invasive pest eases pressures on global commodity markets,Telecoupling,OA,wyckhuys_biological_2018,ENVIRONMENTAL RESEARCH LETTERS,10.1088/1748-9326/aad8f0,africa; agricultural ecosystem; agricultural intensification; anagyrus; biological control; biological control agent; biological controls; biological invasion; cassava; china; commerce; commodity market; costs; crop production; ecosystem service; ecosystem services; ecosystems; encyrtidae; environmental costs; financial markets; global perspective; hemiptera; host-parasitoid interaction; hymenoptera; insect; invasion biology; invasive species; manihot esculenta; pest species; phenacoccus manihoti; plants (botany); potential biocontrol agent; price fluctuation; primary production; primary productivity; pseudococcidae; social-ecological systems; starch; sustainable intensification; tele-coupling; thailand; time series analysis; tropical environment,24
Xiong et al. - 2018 - Trade in the telecoupling framework evidence from the metals industry.pdf,Xiong et al.,2018,Trade in the telecoupling framework evidence from the metals industry,Telecoupling,OA,xiong_trade_2018,ECOLOGY AND SOCIETY,10.5751/ES-09864-230111,database; emissions trading; export; global value chain; greenhouse gas; international trade; metal industry; metals industry; spillover effect; telecoupling framework; trade flow; world input-output database,28
Yang et al. - 2018 - Feedback of telecoupling the case of a payments for ecosystem services program.pdf,Yang et al.,2018,Feedback of telecoupling the case of a payments for ecosystem services program,Telecoupling,OA,yang_feedback_2018,ECOLOGY AND SOCIETY,10.5751/ES-10140-230245,ailuropoda melanoleuca; bear; china; conservation; ecosystem service; ecosystem services; feedback; giant panda; nature conservation; nature reserve; nature-society relations; rural area; sichuan; survey; sustainability; sustainable development; telecoupling; wolong; wolong nature reserve,30
