filename,authors,year,title,category,oa_status,matched_bib_key,journal,doi,keywords,cited_by
Paglia - 2019 - A higher level of civilisation The transformation of ny-Ã¥lesund from arctic coalmining settlement.pdf,Paglia,2019,A higher level of civilisation The transformation of ny-Ã¥lesund from arctic coalmining settlement,Telecoupling,OA,paglia_higher_2020,POLAR RECORD,10.1017/S0032247419000603,arctic; arctic geopolitics; civilization; coal mining; geopolitics; global environment facility; globalization; ny-alesund; policy reform; science and technology; science diplomacy; spitsbergen; svalbard; svalbard and jan mayen; telecoupling,18
Rulli et al. - 2019 - Interdependencies and telecoupling of oil palm expansion at the expense of Indonesian rainforest.pdf,Rulli et al.,2019,Interdependencies and telecoupling of oil palm expansion at the expense of Indonesian rainforest,Telecoupling,OA,rulli_interdependencies_2019,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,10.1016/j.rser.2018.12.050,biofuel; biofuels; carbon dioxide; co2 emission; co2 emissions; cultivation; deforestation; fragmentation; globalisation; globalization; indonesia; land use; oil palm; oil-production; palm oil; pollution; rainfor; rainforest; telecoupling; water; water scarcity,78
Schierhorn et al. - 2019 - Large greenhouse gas savings due to changes in the post-Soviet food systems.pdf,Schierhorn et al.,2019,Large greenhouse gas savings due to changes in the post-Soviet food systems,Telecoupling,OA,schierhorn_large_2019,ENVIRONMENTAL RESEARCH LETTERS,10.1088/1748-9326/ab1cf1,abandoned croplands; agricultural commodities; agricultural productions; animal products; animalia; carbon dioxide; carbon footprint; carbon sequestration; commerce; deforestation; emission control; emissions reduction; food's carbon footprint; former soviet union; gas emissions; greenhouse gases; land use; soviet union; telecoupling; trade,53
Xie et al. - 2019 - A spatio-temporal delineation of trans-boundary ecosystem service flows from Inner Mongolia.pdf,Xie et al.,2019,A spatio-temporal delineation of trans-boundary ecosystem service flows from Inner Mongolia,Metacoupling,OA,bagstad_ecosystem_2019,AMBIO,10.1007/s13280-018-1049-4,anas; anas acuta; animal; animal migration; animals; canada; conservation planning; duck; ducks; ecosystem; ecosystem service; financial provision; hunting; migration; migratory population; north america; northern pintail duck; population migration; prairie; season; seasons; spatial subsidies; species conservation; subsidy system; subsistence; telecoupling; transborder conservation; transboundary cooperation; united states; waterfowl,46
Yang et al. - 2019 - The Role of Citizen Science in Conservation under the Telecoupling Framework.pdf,Yang et al.,2019,The Role of Citizen Science in Conservation under the Telecoupling Framework,Telecoupling,OA,,,,,
"Zhang et al. - 2019 - Understanding the tele-coupling mechanism of urban food-energy-water nexus Critical sources, nodes,.pdf",Zhang et al.,2019,"Understanding the tele-coupling mechanism of urban food-energy-water nexus Critical sources, nodes,",Telecoupling,non-OA,zhang_understanding_2019,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2019.06.232,agriculture industries; coking; input output analysis; less-developed regions; metal refining; multi-regional input-output analysis; neighborhood pattern; path analysis; petroleum refining; regression analysis; structural path analysis; supply chains; tele-connection; urban few nexus; urban sustainability,49
Bicudo da Silva et al. - 2020 - Three decades of land-use and land-cover change in mountain regions of the Brazilian Atlantic Forest.pdf,Bicudo da Silva et al.,2020,Three decades of land-use and land-cover change in mountain regions of the Brazilian Atlantic Forest,Telecoupling,OA,,,,,
Bronnmann et al. - 2020 - Integration of a local fish market in Namibia with the global seafood trade Implications for fish t.pdf,Bronnmann et al.,2020,Integration of a local fish market in Namibia with the global seafood trade Implications for fish t,Telecoupling,OA,bronnmann_integration_2020,WORLD DEVELOPMENT,10.1016/j.worlddev.2020.105048,fish trade; fishery economics; globalization; integrated approach; local economy; low income population; market conditions; market integration; namibia; national trade; seafood; size-based pricing; small-scale fisheries; sustainability; telecoupling,31
Carlson et al. - 2020 - Global Marine Fishing Across Space and Time.pdf,Carlson et al.,2020,Global Marine Fishing Across Space and Time,Metacoupling,OA,carlson_global_2020,SUSTAINABILITY,10.3390/su12114714,biodiversity; canada; catch statistics; economic analysis; fisheries; fishery management; food security; governance approach; holistic approach; indonesia; livelihood; mauritania; metacoupling; morocco; nature-society relations; peru; research work; spatiotemporal analysis; sustainability; telecoupling; trade-off,26
Carlson et al. - 2020 - Linking Multiscalar Fisheries Using Metacoupling Models.pdf,Carlson et al.,2020,Linking Multiscalar Fisheries Using Metacoupling Models,Metacoupling,OA,carlson_linking_2020,FRONTIERS IN MARINE SCIENCE,10.3389/fmars.2020.00614,atlantic bluefin tuna; cods; fisheries; mahi-mahi; metacoupling; metacoupling framework; social-ecological systems; sustainability,15
Chung et al. - 2020 - International Tourism Dynamics in a Globalized World A Social Network Analysis Approach.pdf,Chung et al.,2020,International Tourism Dynamics in a Globalized World A Social Network Analysis Approach,Metacoupling,non-OA,,,,,
"Hauer and Nielsen - 2020 - Making land-use change and markets the global-local entanglement of producing rice in Bagre, Burkin.pdf",Hauer and Nielsen,2020,"Making land-use change and markets the global-local entanglement of producing rice in Bagre, Burkin",Telecoupling,OA,hauer_making_2020,GEOGRAFISKA ANNALER SERIES B-HUMAN GEOGRAPHY,10.1080/04353684.2020.1723121,agricultural trade; bagre; burkina faso; crop production; food production; geographies of marketization; globalization; land market; land use change; land-use change; paddy field; rice; telecoupling,9
Ibarrola-Rivas et al. - 2020 - Telecoupling through tomato trade what consumers do not know about the tomato on their plate.pdf,Ibarrola-Rivas et al.,2020,Telecoupling through tomato trade what consumers do not know about the tomato on their plate,Telecoupling,OA,ibarrola-rivas_telecoupling_2020,GLOBAL SUSTAINABILITY,10.1017/sus.2020.4,almeria; environmental effects; germany; global drivers; global food trade; inequality; social effects; spain; the netherlands; westland,18
Kleemann et al. - 2020 - Quantifying interregional flows of multiple ecosystem services - A case study for Germany.pdf,Kleemann et al.,2020,Quantifying interregional flows of multiple ecosystem services - A case study for Germany,Telecoupling,OA,kleemann_quantifying_2020,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,10.1016/j.gloenvcha.2020.102051,agricultural land; ailuropoda melanoleuca; assessment; aves; biodiversity; biophysics; cameroon; cocoa; conceptual framework; cote divoire; ecosystem service; ecuador; flood control; flow; ghana; humid environment; interregional ecosystem services; pest control; quantification; resource management; sustainability; telecoupling; theobroma cacao; watershed,93
Laroche et al. - 2020 - Telecoupled environmental impacts of current and alternative Western diets.pdf,Laroche et al.,2020,Telecoupled environmental impacts of current and alternative Western diets,Telecoupling,OA,laroche_telecoupled_2020,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,10.1016/j.gloenvcha.2020.102066,animal welfare; animalia; dietary change; eat diet; ecosystem service; ecosystem services; environmental impact; food consumption; land use change; nature-society relations; nitrogen fixation; telecoupling; trade; trade-off; trade-offs; united states,47
Llopis et al. - 2020 - Capabilities Under Telecoupling Human Well-Being Between Cash Crops and Protected Areas in North-Ea.pdf,Llopis et al.,2020,Capabilities Under Telecoupling Human Well-Being Between Cash Crops and Protected Areas in North-Ea,Telecoupling,OA,,,,,
Magliocca et al. - 2020 - Direct and indirect land-use change caused by large-scale land acquisitions in Cambodia.pdf,Magliocca et al.,2020,Direct and indirect land-use change caused by large-scale land acquisitions in Cambodia,Telecoupling,OA,magliocca_direct_2020,ENVIRONMENTAL RESEARCH LETTERS,10.1088/1748-9326/ab6397,agricultural commodities; cambodia; cascading effects; commodity; deforestation; displacement effects; environmental impact; forest cover; indirect land-use changes; land use; land use change; relative contribution; remote sensing; remote sensing analysis; research work; specific location; telecommunication; telecoupling,35
Marola et al. - 2020 - The bandwidth problem in telecoupled systems governance Certifying sustainable winemaking in Austra.pdf,Marola et al.,2020,The bandwidth problem in telecoupled systems governance Certifying sustainable winemaking in Austra,Telecoupling,OA,marola_bandwidth_2020,ECOLOGICAL ECONOMICS,10.1016/j.ecolecon.2020.106592,australia; certification; chile; diffusion; environmental certification; environmental planning; governance approach; knowledge; land cover; land use change; sustainability; telecoupling; wine; wine industry,7
Matlhola and Chen - 2020 - Telecoupling of the Trade of Donkey-Hides between Botswana and China Challenges and Opportunities.pdf,Matlhola and Chen,2020,Telecoupling of the Trade of Donkey-Hides between Botswana and China Challenges and Opportunities,Telecoupling,OA,matlhola_telecoupling_2020,SUSTAINABILITY,10.3390/su12051730,animalia; biodiversity; botswana; china; developing world; donkey hides; equus asinus; extinction; horse; opportunities; rural population; telecoupling; trade; ungulate; wild population,21
Rey and Huettmann - 2020 - Telecoupling analysis of the Patagonian Shelf A new approach to study global seabird-fisheries inte.pdf,Rey and Huettmann,2020,Telecoupling analysis of the Patagonian Shelf A new approach to study global seabird-fisheries inte,Telecoupling,OA,rey_telecoupling_2020,JOURNAL FOR NATURE CONSERVATION,10.1016/j.jnc.2019.125748,atlantic ocean; biodiversity; biodiversity conservation; bycatch; chans; coupled human and nature systems; fisheries bycatch; fisheries governance; fishery management; gis; patagonia; patagonian shelf; seabird; seabird conservation; species conservation; sustainability,17
"Sareen and Grandin - 2020 - European green capitals branding, spatial dislocation or catalysts for change.pdf",Sareen and Grandin,2020,"European green capitals branding, spatial dislocation or catalysts for change",Telecoupling,non-OA,sareen_european_2020,GEOGRAFISKA ANNALER SERIES B-HUMAN GEOGRAPHY,10.1080/04353684.2019.1667258,accountability; capital flow; discourse; econometrics; european green capitals; governance approach; lisboa [portugal]; lisbon; materiality; norway; numerical model; oslo [norway]; portugal; sustainability; telecoupling; urban economy; urban sustainability transitions,22
Schroeter et al. - 2020 - Distant regions underpin interregional flows of cultural ecosystem services provided by birds and ma.pdf,Schroeter et al.,2020,Distant regions underpin interregional flows of cultural ecosystem services provided by birds and ma,Telecoupling,OA,schroeter_distant_2020,AMBIO,10.1007/s13280-019-01261-3,animal; animals; aves; biodiversity; biodiversity conservation; bird; birds; conservation of natural resources; conservation status; ecosystem; ecosystem service; ecosystem service flows; environmental protection; germany; mammal; mammalia; mammals; netherlands; service-providing species; sustainability; telecoupling,16
Tao et al. - 2020 - Exploring the Spatio-Temporal Dynamics of Winter Rape on the Middle Reaches of Yangtze River Valley.pdf,Tao et al.,2020,Exploring the Spatio-Temporal Dynamics of Winter Rape on the Middle Reaches of Yangtze River Valley,Telecoupling,OA,,,,,
Veraart et al. - 2020 - Connected by oil A framework to analyze the connected sustainability histories of the Niger and Rhi.pdf,Veraart et al.,2020,Connected by oil A framework to analyze the connected sustainability histories of the Niger and Rhi,Telecoupling,non-OA,veraart_connected_2020,EXTRACTIVE INDUSTRIES AND SOCIETY-AN INTERNATIONAL JOURNAL,10.1016/j.exis.2019.12.004,global history; nigeria; oil; resources and sustainability; shell; sustainability history; sustainability monitoring; sustainability telecouplings; the netherlands,9
Weng et al. - 2020 - Landscape matters Insights from the impact of mega-droughts on Colombia_s energy transition.pdf,Weng et al.,2020,Landscape matters Insights from the impact of mega-droughts on Colombia_s energy transition,Telecoupling,OA,weng_landscape_2020,ENVIRONMENTAL INNOVATION AND SOCIETAL TRANSITIONS,10.1016/j.eist.2020.04.003,aerial river; anthropogenic effect; bolivia; brazil; colombia; decision making; deforestation; drought; energy transition; land use change; landscape change; multi-level perspective; telecoupling; transition pathways; warming,20
Wu et al. - 2020 - Telecoupling mechanism of urban land expansion based on transportation accessibility A case study o.pdf,Wu et al.,2020,Telecoupling mechanism of urban land expansion based on transportation accessibility A case study o,Telecoupling,non-OA,wu_telecoupling_2020,LAND USE POLICY,10.1016/j.landusepol.2020.104687,accessibility; china; economic structure; land management; land use planning; policy reform; remote sensing; spatial analysis; spatial econometrics; telecoupling framework; transportation; urban area; urban land expansion; urban policy; yangtze river,34
Xu et al. - 2020 - Impacts of irrigated agriculture on food-energy-water-CO2 nexus across metacoupled systems.pdf,Xu et al.,2020,Impacts of irrigated agriculture on food-energy-water-CO2 nexus across metacoupled systems,Metacoupling,OA,xu_impacts_2020,NATURE COMMUNICATIONS,10.1038/s41467-020-19520-3,article; carbon dioxide; catering service; china; climate change; controlled study; crop production; energy; energy consumption; environmental impact; environmental sustainability; fluid intake; food; food intake; food security; food supply; hubei; irrigation (agriculture); irrigation system; life cycle assessment; north china plain; socioeconomics; sustainability; sustainable development goal; united nations; water; water loss,227
Xu et al. - 2020 - Interregional ecosystem services benefits transfer from wind erosion control measures in Inner Mongo.pdf,Xu et al.,2020,Interregional ecosystem services benefits transfer from wind erosion control measures in Inner Mongo,Metacoupling,non-OA,,,,,
Yao et al. - 2020 - Alleviating water scarcity and poverty in drylands through telecouplings Vegetable trade and touris.pdf,Yao et al.,2020,Alleviating water scarcity and poverty in drylands through telecouplings Vegetable trade and touris,Telecoupling,non-OA,yao_alleviating_2020,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2020.140387,agricultural development; agricultural land; arid regions; article; central government; china; commerce; controlled study; crop growth model; crop production; drought; dryland; dryland farming; environmental policy; environmental sustainability; fluid intake; global challenges; heihe river basin; income; integrated hydrological modeling; leisure industry; poverty; poverty alleviation; priority journal; quantitative analysis; rain; rural area; service industry; socio-economic data; socioeconomic conditions; technological development; tourism; tourism development; vegetable; vegetable trade; vegetables; water conservation; water deficit; water resources; water scarcity; water stress; water supply; water sustainability,38
Yawson - 2020 - Climate Mitigation and Hidden Vulnerabilities Widening the Food Gap Between the Global North and So.pdf,Yawson,2020,Climate Mitigation and Hidden Vulnerabilities Widening the Food Gap Between the Global North and So,Telecoupling,non-OA,,,,,
Yawson et al. - 2020 - Exploring the impacts of climate change and mitigation policies on UK feed barley supply and implica.pdf,Yawson et al.,2020,Exploring the impacts of climate change and mitigation policies on UK feed barley supply and implica,Telecoupling,OA,,,,,
Zhou and Lei - 2020 - Influence of human-water interactions on the water resources and environment in the Yangtze River Ba.pdf,Zhou and Lei,2020,Influence of human-water interactions on the water resources and environment in the Yangtze River Ba,Telecoupling,non-OA,zhou_influence_2020,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2020.121783,community structures; comprehensive research; coupled human and natural systems; geographical distribution; human-water multiplex networks; integrated water management; microenvironmental effects; network flow; network flow analysis; network topology; network topology analysis; pollutant discharges; rivers; topology; water management; watersheds; yangtze river basin,25
Andriamihaja et al. - 2021 - Identifying agents of change for sustainable land governance.pdf,Andriamihaja et al.,2021,Identifying agents of change for sustainable land governance,Telecoupling,OA,,,,,
Booth et al. - 2021 - Investigating the risks of removing wild meat from global food systems.pdf,Booth et al.,2021,Investigating the risks of removing wild meat from global food systems,Telecoupling,OA,booth_investigating_2021,CURRENT BIOLOGY,10.1016/j.cub.2021.01.079,agriculture; animal; animals; biodiversity; catering service; covid-19; food supply; global health; human; humans; meat; sars-cov-2; virology; wild; wild animal,62
Burra et al. - 2021 - Human health outcomes of a restored ecological balance in African agro-landscapes.pdf,Burra et al.,2021,Human health outcomes of a restored ecological balance in African agro-landscapes,Telecoupling,OA,burra_human_2021,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2021.145872,adult; africa south of the sahara; agri-environment schemes; agricultural management; agricultural robots; agricultural system; agricultural worker; agriculture; agroecology; agroecosystem; anagyrus; anagyrus lopezi; article; biodiversity; biodiversity conservation; biodiversity loss; biological control; birth rate; cassava; controlled study; demography; ecological balance; ecological functions; ecology; ecosystem resilience; ecosystem restoration; empirical analysis; environmental change; food deprivation; food security; food supply; global environmental change; harvest; health; health impact; human; intensification; landscape; lifespan; manihot esculenta; mortality; mortality rate; nonhuman; nutritional status; parallel improvement; pest organism; pest species; plants (botany); population statistics; priority journal; restoration; restoration ecology; social welfare; social-ecological systems; species invasions; sub-saharan africa; sustainable development; tele-coupling; wasp; wellbeing,16
Carlson et al. - 2021 - Boat to bowl resilience through network rewiring of a community-supported fishery amid the COVID-19.pdf,Carlson et al.,2021,Boat to bowl resilience through network rewiring of a community-supported fishery amid the COVID-19,Metacoupling,OA,carlson_boat_2021,ENVIRONMENTAL RESEARCH LETTERS,10.1088/1748-9326/abe4f6,biodiversity; community resource management; community-supported fishery programs; coronavirus; coupled human and natural systems; coupled human-natural systems; covid-19; csf; customer satisfaction; fisheries; fishery management; flow quantities; food processing; food supply; harvesters; harvesting; knowledge gaps; local food systems; meats; metacoupling; miletinae; network models; network rewiring; new jersey; pennsylvania; sales; sars coronavirus; sars-cov-2; seafood; severe acute respiratory syndrome; severe acute respiratory syndrome coronavirus; species diversity; supply chain actors; supply chain management; supply chains; united states,21
Carlson et al. - 2021 - Modeling Atlantic herring fisheries as multiscalar human-natural systems.pdf,Carlson et al.,2021,Modeling Atlantic herring fisheries as multiscalar human-natural systems,Metacoupling,non-OA,carlson_modeling_2021,FISHERIES RESEARCH,10.1016/j.fishres.2020.105855,atlantic herring; coupled human and natural systems; fisheries management; metacoupling framework; social-ecological systems,6
"Casola et al. - 2021 - Modernization of artisanal fishing communities on Andros Island, The Bahamas, as a treadmill of prod.pdf",Casola et al.,2021,"Modernization of artisanal fishing communities on Andros Island, The Bahamas, as a treadmill of prod",Telecoupling,non-OA,casola_modernization_2021,OCEAN & COASTAL MANAGEMENT,10.1016/j.ocecoaman.2020.105487,andros [bahamas]; artisanal fishery; artisanal fishing; bahamas; commerce; conservation; ecological modernization; ecological modernization theories; ecology; economic expansion; economic system; employment opportunities; environmental technology; fisheries; fishing community; higher education; international tourisms; martes; modernization; natural resource; natural resources; production theory; public attitude; qualitative case studies; questionnaire survey; sporting goods; telecoupling; tourism; treadmill of production; world system theory,4
Chang and Su - 2021 - Exploring the coupling relationship of stormwater runoff distribution in watershed from the perspect.pdf,Chang and Su,2021,Exploring the coupling relationship of stormwater runoff distribution in watershed from the perspect,Telecoupling,non-OA,chang_exploring_2021,URBAN CLIMATE,10.1016/j.uclim.2021.100792,fair distribution; flood management strategy; local coupling and telecoupling; multi-regional input-output (mrio) model; runoff distribution,22
Chuai et al. - 2021 - A new meta-coupling framework to diagnose the inequity hidden in China_s cultivated land use.pdf,Chuai et al.,2021,A new meta-coupling framework to diagnose the inequity hidden in China_s cultivated land use,Metacoupling,OA,chuai_new_2021,ENVIRONMENTAL SCIENCE & POLICY,10.1016/j.envsci.2021.08.001,agriculture; china; cultivated land; inequity; input-output; meta-coupling,19
Coenen et al. - 2021 - Environmental Governance of China_s Belt and Road Initiative.pdf,Coenen et al.,2021,Environmental Governance of China_s Belt and Road Initiative,Telecoupling,OA,coenen_environmental_2021,ENVIRONMENTAL POLICY AND GOVERNANCE,10.1002/eet.1901,china; environmental economics; environmental impact assessment; environmental management; environmental policy; future prospect; global environmental governance; governance approach; green economy; infrastructural development; new silk road; research work; sustainable development; telecoupling; trade-environment relations,175
Downing et al. - 2021 - When the whole is less than the sum of all parts-Tracking global-level impacts of national sustainab.pdf,Downing et al.,2021,When the whole is less than the sum of all parts-Tracking global-level impacts of national sustainab,Telecoupling,OA,downing_when_2021,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,10.1016/j.gloenvcha.2021.102306,brazil; china; cross-system social-ecological burdens; economic development; global perspective; oil production; pacific ocean; pacific ocean (south); reforestation; southeast asia; spatiotemporal analysis; sustainability; sustainable development; sustainable development goal; sustainable development goals; telecoupling framework; trade routes,29
Fridman et al. - 2021 - Exploring global interregional food system_s sustainability using the functional regions typology.pdf,Fridman et al.,2021,Exploring global interregional food system_s sustainability using the functional regions typology,Telecoupling,non-OA,fridman_exploring_2021,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,10.1016/j.gloenvcha.2021.102276,ecosystem service; environmental impact; farming system; food security; food supply; food-system-sustainability; functional-regions; glycine max; international-trade; interregional-sustainability; land-use-archetypes; sustainability; tele-coupling; typology,11
Garcia et al. - 2021 - Multilayer Network Clarifies Prevailing Water Consumption Telecouplings in the United States.pdf,Garcia et al.,2021,Multilayer Network Clarifies Prevailing Water Consumption Telecouplings in the United States,Telecoupling,non-OA,,,,,
Garcia-Martin et al. - 2021 - Linking food systems and landscape sustainability in the Mediterranean region.pdf,Garcia-Martin et al.,2021,Linking food systems and landscape sustainability in the Mediterranean region,Telecoupling,OA,garcia-martin_linking_2021,LANDSCAPE ECOLOGY,10.1007/s10980-020-01168-5,food systems; landscape ecology; landscape products; landscape sustainability; social-ecological systems; telecouplings,31
Javier Alcantara-Plazola and de la Barrera - 2021 - Quantification of embedded phosphorus in Mexican agriculture.pdf,Javier Alcantara-Plazola and de la Barrera,2021,Quantification of embedded phosphorus in Mexican agriculture,Telecoupling,non-OA,javier_alcantara-plazola_quantification_2021,SUSTAINABLE PRODUCTION AND CONSUMPTION,10.1016/j.spc.2021.07.011,agricultural commodities; agricultural productions; agricultural robots; agriculture; biogeochemical cycle; biogeochemistry; crops; embedded phosphorus; essential elements; food crops; food security; forage production; fruits; fruits and vegetables; mineral industry; phosphorus; phosphorus balances; planetary boundaries; telecoupling; vegetables,5
Jiang et al. - 2021 - Ecological restoration is not sufficient for reconciling the trade-off between soil retention and wa.pdf,Jiang et al.,2021,Ecological restoration is not sufficient for reconciling the trade-off between soil retention and wa,Metacoupling,non-OA,,,,,
Kalt et al. - 2021 - Tracing Austria_s biomass consumption to source countries A product-level comparison between bioene.pdf,Kalt et al.,2021,Tracing Austria_s biomass consumption to source countries A product-level comparison between bioene,Telecoupling,OA,,,,,
Klapper and Schroeter - 2021 - Interregional flows of multiple ecosystem services through global trade in wild species.pdf,Klapper and Schroeter,2021,Interregional flows of multiple ecosystem services through global trade in wild species,Telecoupling,non-OA,klapper_interregional_2021,ECOSYSTEM SERVICES,10.1016/j.ecoser.2021.101316,conservation; endangered species; interregional flows; service-providing units; telecoupling; trade,10
Li et al. - 2021 - Spatial Differentiation of Cultivated Land Use Intensification in Village Settings A Survey of Typi.pdf,Li et al.,2021,Spatial Differentiation of Cultivated Land Use Intensification in Village Settings A Survey of Typi,Telecoupling,OA,,,,,
Mack et al. - 2021 - Assessing the vulnerability of remittance networks to geopolitical shocks in countries of the former.pdf,Mack et al.,2021,Assessing the vulnerability of remittance networks to geopolitical shocks in countries of the former,Telecoupling,OA,mack_assessing_2021,APPLIED GEOGRAPHY,10.1016/j.apgeog.2021.102567,econometrics; economic shocks; geopolitical shocks; geopolitics; least squares method; migrants remittance; migration; remittances; russian federation; telecoupling; ussr; vulnerability,9
Martinez-Valderrama et al. - 2021 - Mediterranean Landscape Re-Greening at the Expense of South American Agricultural Expansion.pdf,Martinez-Valderrama et al.,2021,Mediterranean Landscape Re-Greening at the Expense of South American Agricultural Expansion,Telecoupling,OA,,,,,
Millington et al. - 2021 - Modelling drivers of Brazilian agricultural change in a telecoupled world.pdf,Millington et al.,2021,Modelling drivers of Brazilian agricultural change in a telecoupled world,Telecoupling,non-OA,millington_modelling_2021,ENVIRONMENTAL MODELLING & SOFTWARE,10.1016/j.envsoft.2021.105024,agent based; agent-based; agricultural change; agricultural commodities; agricultural production; agriculture; brazil; calibration; climate change; commodity; cover; crafty; demand analysis; economics; global demand; land cover; land use; land use change; land use/cover; land use/cover change; model drivers; simulation; teleconnection; telecoupling; yield response,17
Roux et al. - 2021 - Does agricultural trade reduce pressure on land ecosystems Decomposing drivers of the embodied huma.pdf,Roux et al.,2021,Does agricultural trade reduce pressure on land ecosystems Decomposing drivers of the embodied huma,Telecoupling,OA,roux_does_2021,ECOLOGICAL ECONOMICS,10.1016/j.ecolecon.2020.106915,agricultural trade; bilateral agreement; decomposition analysis; deforestation; ecosystem function; embodied hanpp; human activity; index decomposition analysis; international trade; land ecosystems; land use; nature-society relations; net primary production; telecoupling; trade flow,54
Su and Chen - 2021 - Efficiency analysis of metacoupling of water transfer based on the parallel data envelopment analysi.pdf,Su and Chen,2021,Efficiency analysis of metacoupling of water transfer based on the parallel data envelopment analysi,Metacoupling,non-OA,su_efficiency_2021,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2021.127952,china; data envelopment analysis; economic and social effects; economics; efficiency; metacoupling; parallel data; parallel data envelopment analyse model; parallel data envelopment analysis model; route; south-north water transfer projects; south–north water transfer project-middle route; water efficiency; water efficiency'; water resources; water source areas; water supply; water transfer; water transfers,40
Tang et al. - 2021 - Local and telecoupling coordination degree model of urbanization and the eco-environment based on RS.pdf,Tang et al.,2021,Local and telecoupling coordination degree model of urbanization and the eco-environment based on RS,Telecoupling,non-OA,tang_local_2021,SUSTAINABLE CITIES AND SOCIETY,10.1016/j.scs.2021.103405,agglomeration; case-studies; china; coordination degree; coupling coordination degree model; coupling coordination degree model (ccdm); eco-environment; eco-environments; economic and social effects; geographic information systems; gis; hubei; local and telecoupling; numerical model; remote sensing; rs and gis; sustainability; sustainable development; urban economy; urbanization; urbanization levels; wuhan; wuhan urban agglomeration; wuhan urban agglomeration (wua); wuhan urban agglomerations,83
Vergara et al. - 2021 - Spatial coupling and decoupling between ecosystem services provisioning and benefiting areas Implic.pdf,Vergara et al.,2021,Spatial coupling and decoupling between ecosystem services provisioning and benefiting areas Implic,Telecoupling,non-OA,,,,,
Wang et al. - 2021 - Telecoupling cropland soil erosion with distant drivers within China.pdf,Wang et al.,2021,Telecoupling cropland soil erosion with distant drivers within China,Telecoupling,non-OA,wang_telecoupling_2021,JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2021.112395,agricultural; agricultural activities; agricultural products; agricultural science; agricultural soil; agriculture; article; biophysical process; capital formation; china; conservation of natural resources; consumption; crop; cropland; crops; economic activities; environmental protection; erosion; erosion control; food industry; household; human; human activities; human activity; humans; quantitative analysis; revised universal soil loss equation; socio-economic factor; socio-economics; soil; soil erosion; soil treatment; soils; supply chains; teleconnection; teleconnections; telecoupling,51
Wu et al. - 2021 - Integrating multiple influencing factors in evaluating the socioeconomic effects of payments for eco.pdf,Wu et al.,2021,Integrating multiple influencing factors in evaluating the socioeconomic effects of payments for eco,Metacoupling,non-OA,wu_integrating_2021,ECOSYSTEM SERVICES,10.1016/j.ecoser.2021.101348,grain for green program; loess plateau; metacoupling; payments for ecosystem services; socioeconomic outcome,34
Wu et al. - 2021 - Spatial variation and influencing factors of the effectiveness of afforestation in China_s Loess Pla.pdf,Wu et al.,2021,Spatial variation and influencing factors of the effectiveness of afforestation in China_s Loess Pla,Metacoupling,non-OA,wu_spatial_2021,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2020.144904,afforestation; article; china; china's loess plateaux; comparative effectiveness; design and implementations; ecological restoration; economics; ecosystem; ecosystem service; ecosystems; employment; environmental conservation; environmental restoration; grain yield; grain-to-green program; grain-to-green programs; investment; landforms; livelihood; loess; loess plateau; metacoupling; payment for ecosystem services; reforestation; remote sensing; restoration ecology; rural areas; sediments; socio-economic development; spatial differences; spatial heterogeneity; spatial variables measurement; spatial variation; vegetation; vegetation condition,67
Xiong et al. - 2021 - Telecoupling urbanization and mountain areas deforestation between 2000 and 2020 Evidence from Zhej.pdf,Xiong et al.,2021,Telecoupling urbanization and mountain areas deforestation between 2000 and 2020 Evidence from Zhej,Telecoupling,non-OA,xiong_telecoupling_2021,LAND DEGRADATION & DEVELOPMENT,10.1002/ldr.4074,china; deforestation; developing regions; economic and social effects; economics; forest transition; land use; land use change; land use policy; land-use decisions; satellite imagery; satellite images; socio-economic development; spillover effects; telecoupling; urban construction; urban development; urban policy; urbanization; zhejiang; zhejiang province,20
"Xu et al. - 2021 - Mapping the spatiotemporal heterogeneity of ecosystem service relationships and bundles in Ningxia,.pdf",Xu et al.,2021,"Mapping the spatiotemporal heterogeneity of ecosystem service relationships and bundles in Ningxia,",Metacoupling,non-OA,,,,,
Zhang et al. - 2021 - Sustainability Evaluation on the Grain to Green Program in the Hexi Corridor of China A Metacoupled.pdf,Zhang et al.,2021,Sustainability Evaluation on the Grain to Green Program in the Hexi Corridor of China A Metacoupled,Metacoupling,OA,,,,,
